player_id,name,recent_team,season,week,position_wr,position_te,season_tot_receptions,season_tot_targets,season_tot_receiving_yards,season_tot_receiving_tds,season_tot_receiving_air_yards,season_avg_racr,season_avg_tgt_share,season_avg_air_yards_share,season_avg_wopr,season_avg_fantasy_points_ppr,recent_racr,recent_tgt_share,recent_air_yards_share,recent_wopr,recent_fantasy_points_ppr,career_fpts,actual_fantasy_pts
00-0036407,Jerry Jeudy,DEN,2022,5,1,0,11,21,183,2,246,0.74,0.17,0.23,0.41,10.35,0.33,0.16,0.22,0.40,7.07,9.47,15.30
00-0036410,Tee Higgins,CIN,2022,5,1,0,20,28,315,2,310,1.02,0.18,0.27,0.46,15.88,0.93,0.25,0.36,0.64,19.60,14.54,25.40
00-0036412,KJ Hamler,DEN,2022,5,1,0,1,2,55,0,78,0.71,0.03,0.14,0.14,3.25,0.71,0.03,0.14,0.14,3.25,6.41,6.50
00-0036422,Adam Trautman,NO,2022,5,0,1,4,4,46,0,23,2.00,0.06,0.03,0.11,4.30,2.00,0.06,0.03,0.11,4.30,4.64,6.70
00-0036429,Charlie Woerner,SF,2022,5,0,1,0,1,0,0,20,0.00,0.04,0.16,0.17,0.00,0.00,0.04,0.16,0.17,0.00,1.87,0.00
00-0036482,Mike Strachan,IND,2022,5,1,0,3,6,59,0,75,0.79,0.05,0.09,0.14,2.97,0.79,0.05,0.09,0.14,2.97,2.70,0.00
00-0036550,Rashod Bateman,BAL,2022,5,1,0,11,22,243,2,317,0.77,0.19,0.30,0.50,11.32,0.58,0.20,0.30,0.51,10.47,9.30,4.70
00-0036554,Nico Collins,HOU,2022,5,1,0,11,21,207,0,309,0.67,0.15,0.30,0.43,7.92,0.59,0.17,0.35,0.51,9.03,6.41,11.20
00-0036572,Shi Smith,CAR,2022,5,1,0,4,13,36,0,106,0.34,0.12,0.14,0.27,1.90,0.23,0.11,0.14,0.27,1.80,2.63,0.00
00-0036590,Quintin Morris,BUF,2022,5,0,1,3,4,28,0,30,0.93,0.03,0.03,0.07,1.93,0.93,0.03,0.03,0.07,1.93,1.93,0.00
00-0036613,Jaylen Waddle,MIA,2022,5,1,0,21,35,381,3,388,0.98,0.26,0.33,0.61,19.70,0.80,0.28,0.36,0.68,20.37,16.33,5.90
00-0036620,D'Wayne Eskridge,SEA,2022,5,1,0,3,4,16,0,6,2.67,0.05,0.01,0.08,1.73,2.67,0.05,0.01,0.08,1.73,3.05,2.60
00-0036626,Dyami Brown,WAS,2022,5,1,0,1,4,6,0,69,0.09,0.10,0.23,0.31,1.60,0.09,0.10,0.23,0.31,1.60,2.97,1.60
