player_id,name,recent_team,season,week,years_exp,position_wr,position_te,season_tot_receptions,season_tot_targets,season_tot_receiving_yards,season_tot_receiving_tds,season_tot_receiving_air_yards,season_avg_racr,season_avg_tgt_share,season_avg_air_yards_share,season_avg_wopr,season_avg_fantasy_points_ppr,recent_racr,recent_tgt_share,recent_air_yards_share,recent_wopr,recent_fantasy_points_ppr,lw_fpts,lw_wopr,career_fpts,actual_fantasy_pts
00-0033895,Gerald Everett,LAC,2022,6,5,0,1,17,29,213,2,225,0.95,0.15,0.18,0.35,10.06,0.39,0.14,0.20,0.34,7.60,1.20,0.23,6.14,1.20
00-0033908,Cooper Kupp,LA,2022,6,5,1,0,49,64,527,4,492,1.07,0.34,0.38,0.77,26.42,0.59,0.30,0.33,0.69,22.83,25.90,0.52,18.45,25.90
00-0033921,Chris Godwin,TB,2022,6,5,1,0,16,19,155,0,95,1.63,0.15,0.10,0.29,10.57,1.63,0.15,0.10,0.29,10.57,12.30,0.26,13.65,12.30
00-0033932,Kenny Golladay,NYG,2022,6,5,1,0,2,6,22,0,54,0.41,0.09,0.11,0.21,1.40,0.41,0.09,0.11,0.21,1.40,0.00,0.17,11.07,0.00
00-0033943,Josh Reynolds,DET,2022,6,5,1,0,23,34,335,2,436,0.77,0.19,0.27,0.48,13.70,0.62,0.26,0.36,0.65,17.30,15.20,0.78,7.10,15.20
00-0034011,Dan Arnold,JAX,2022,6,5,0,1,3,4,54,0,23,2.35,0.04,0.03,0.08,2.80,2.35,0.04,0.03,0.08,2.80,3.00,0.10,6.17,3.00
00-0034054,River Cracraft,MIA,2022,6,5,1,0,2,5,13,2,43,0.30,0.04,0.04,0.08,3.83,0.26,0.03,0.05,0.09,2.70,0.00,0.08,3.85,0.00
00-0034073,Ross Dwelley,SF,2022,6,4,0,1,2,4,49,1,34,1.44,0.05,0.07,0.13,4.30,1.44,0.05,0.07,0.13,4.30,0.00,0.08,4.88,0.00
00-0034104,Cam Sims,WAS,2022,6,4,1,0,2,7,13,0,139,0.09,0.05,0.12,0.15,0.83,0.09,0.06,0.12,0.17,1.10,1.60,0.20,5.73,1.60
00-0034159,Will Dissly,SEA,2022,6,4,0,1,14,15,137,3,73,1.88,0.10,0.05,0.18,9.14,1.29,0.10,0.06,0.20,10.13,4.10,0.22,6.37,4.10
00-0034270,Tyler Conklin,NYJ,2022,6,4,0,1,21,30,192,1,130,1.48,0.15,0.08,0.28,9.24,1.05,0.14,0.10,0.28,8.20,0.00,0.21,6.42,0.00
00-0034272,Marquez Valdes-Scantling,KC,2022,6,4,1,0,19,31,258,0,336,0.77,0.17,0.25,0.43,8.90,0.60,0.18,0.30,0.48,11.03,15.00,0.50,7.85,15.00
00-0034279,Equanimeous St. Brown,CHI,2022,6,4,1,0,7,14,112,1,154,0.73,0.13,0.15,0.29,4.43,0.23,0.07,0.07,0.16,1.53,0.10,0.00,3.58,0.10
00-0034286,Richie James,NYG,2022,6,4,1,0,17,22,171,0,198,0.86,0.17,0.24,0.43,6.94,0.31,0.14,0.17,0.32,4.50,3.60,0.18,6.37,3.60
00-0034297,Byron Pringle,CHI,2022,6,4,1,0,2,3,33,0,58,0.57,0.09,0.19,0.27,2.65,0.57,0.09,0.19,0.27,2.65,2.10,0.13,7.17,2.10
00-0034317,Keith Kirkwood,NO,2022,6,4,1,0,1,1,4,0,2,2.00,0.04,0.01,0.07,1.40,2.00,0.04,0.01,0.07,1.40,1.40,0.07,4.85,1.40
00-0034348,Courtland Sutton,DEN,2022,6,4,1,0,29,46,417,1,568,0.73,0.28,0.40,0.70,15.44,0.39,0.29,0.35,0.69,15.43,12.40,0.71,10.83,12.40
00-0034351,Dallas Goedert,PHI,2022,6,4,0,1,24,29,335,1,100,3.35,0.19,0.09,0.35,12.70,1.93,0.21,0.07,0.36,13.77,17.50,0.61,9.83,17.50
00-0034364,Jordan Akins,HOU,2022,6,4,0,1,7,8,86,1,44,1.95,0.09,0.07,0.18,7.20,1.95,0.09,0.07,0.18,7.20,4.20,0.19,4.81,4.20
00-0034365,Ian Thomas,CAR,2022,6,4,0,1,8,14,93,0,72,1.29,0.09,0.07,0.18,3.46,0.38,0.08,0.01,0.13,2.57,2.80,0.07,4.15,2.80
00-0034383,Dalton Schultz,DAL,2022,6,4,0,1,9,17,80,0,88,0.91,0.15,0.10,0.30,3.75,0.20,0.11,0.05,0.20,0.60,0.00,0.12,8.63,0.00
00-0034386,Justin Watson,KC,2022,6,4,1,0,3,6,60,1,92,0.65,0.03,0.07,0.10,3.00,0.11,0.03,0.06,0.08,0.67,2.00,0.05,4.46,2.00
00-0034407,Ray-Ray McCloud,SF,2022,6,4,1,0,4,8,53,0,88,0.60,0.08,0.12,0.20,2.32,0.38,0.08,0.10,0.19,2.10,1.60,0.34,3.37,1.60
00-0034411,Russell Gage,TB,2022,6,4,1,0,23,31,172,1,151,1.14,0.15,0.10,0.30,9.24,0.87,0.16,0.15,0.35,11.70,6.00,0.27,9.50,6.00
00-0034418,Cedrick Wilson,MIA,2022,6,4,1,0,4,7,40,0,89,0.45,0.06,0.11,0.17,2.93,0.45,0.06,0.11,0.17,2.93,4.00,0.39,7.39,4.00
00-0034419,Braxton Berrios,NYJ,2022,6,4,1,0,7,9,42,0,38,1.11,0.04,0.02,0.08,4.96,0.13,0.03,0.03,0.06,4.63,8.40,0.06,6.68,8.40
00-0034487,Trent Sherfield,MIA,2022,6,4,1,0,9,13,82,0,145,0.57,0.08,0.10,0.19,3.44,0.45,0.10,0.16,0.26,4.17,1.50,0.19,3.51,1.50
00-0034521,Allen Lazard,GB,2022,6,4,1,0,16,25,209,3,330,0.63,0.19,0.37,0.54,13.73,0.59,0.21,0.39,0.59,15.20,13.50,0.54,9.72,13.50
00-0034613,Tanner Hudson,NYG,2022,6,4,0,1,3,5,40,0,52,0.77,0.11,0.15,0.26,3.50,0.77,0.11,0.15,0.26,3.50,2.80,0.31,1.70,2.80
00-0034646,Brandon Powell,LA,2022,6,4,1,0,5,5,43,0,0,43.00,0.03,0.00,0.04,1.64,27.00,0.03,-0.01,0.03,2.30,0.10,0.00,3.40,0.10
00-0034753,Mark Andrews,BAL,2022,6,4,0,1,32,46,349,4,478,0.73,0.33,0.37,0.75,18.24,0.40,0.34,0.40,0.79,18.43,22.90,0.73,12.76,22.90
00-0034764,Michael Gallup,DAL,2022,6,4,1,0,6,8,68,1,70,0.97,0.19,0.20,0.43,9.40,0.97,0.19,0.20,0.43,9.40,8.40,0.71,10.72,8.40
00-0034765,Tre'Quan Smith,NO,2022,6,4,1,0,6,11,133,0,194,0.69,0.12,0.20,0.32,6.43,0.69,0.12,0.20,0.32,6.43,2.00,0.40,7.75,2.00
00-0034775,Christian Kirk,JAX,2022,6,4,1,0,21,39,338,3,371,0.91,0.23,0.27,0.53,14.62,0.39,0.20,0.25,0.48,9.87,2.10,0.21,11.77,2.10
00-0034777,D.J. Chark,DET,2022,6,4,1,0,7,18,98,1,328,0.30,0.17,0.34,0.49,7.60,0.30,0.17,0.34,0.49,7.60,7.60,0.48,10.59,7.60
00-0034798,Durham Smythe,MIA,2022,6,4,0,1,6,7,50,0,30,1.67,0.05,0.03,0.10,4.28,1.20,0.05,0.02,0.09,4.90,7.90,0.07,3.70,7.90
00-0034827,D.J. Moore,CAR,2022,6,4,1,0,17,37,197,1,381,0.52,0.24,0.35,0.61,9.32,0.29,0.25,0.37,0.64,8.43,10.70,0.59,13.02,10.70
00-0034829,Mike Gesicki,MIA,2022,6,4,0,1,9,12,101,1,99,1.02,0.07,0.07,0.16,5.02,0.60,0.08,0.09,0.18,3.30,4.00,0.19,7.96,4.00
00-0034830,Hayden Hurst,CIN,2022,6,4,0,1,20,28,157,2,109,1.44,0.15,0.09,0.28,9.54,0.80,0.13,0.07,0.24,10.23,17.30,0.53,6.47,17.30
00-0034854,KhaDarel Hodge,ATL,2022,6,4,1,0,8,12,128,0,119,1.08,0.12,0.13,0.27,5.70,0.76,0.13,0.14,0.30,5.33,8.30,0.43,3.15,8.30
00-0034860,Dante Pettis,CHI,2022,6,4,1,0,5,13,135,2,171,0.79,0.15,0.22,0.39,7.63,0.49,0.18,0.25,0.44,6.13,18.40,0.67,7.83,18.40
00-0034959,Andrew Beck,DEN,2022,6,3,0,1,2,4,52,0,48,1.08,0.04,0.05,0.09,2.37,1.08,0.04,0.05,0.09,2.37,0.00,0.09,2.64,0.00
00-0034960,Jakobi Meyers,NE,2022,6,3,1,0,20,27,261,1,306,0.85,0.32,0.39,0.75,17.60,0.85,0.32,0.39,0.75,17.60,24.10,0.96,10.55,24.10
00-0034970,Irv Smith Jr.,MIN,2022,6,3,0,1,14,25,133,1,143,0.93,0.13,0.13,0.29,6.66,0.68,0.14,0.10,0.28,6.23,8.20,0.28,6.81,8.20
00-0034981,Foster Moreau,LV,2022,6,3,0,1,6,8,74,0,50,1.48,0.10,0.08,0.21,6.70,1.48,0.10,0.08,0.21,6.70,7.40,0.22,6.06,7.40
